target_id,branch,month,year,sales_target,order_target
T001,Pusat,1,2024,45000000,25
T002,Bandung,1,2024,32000000,18
T003,Surabaya,1,2024,30000000,17
T004,Selatan,1,2024,28000000,16
T005,Yogyakarta,1,2024,22000000,13
T006,Pusat,2,2024,48000000,27
T007,Bandung,2,2024,34000000,19
T008,Surabaya,2,2024,32000000,18
T009,Selatan,2,2024,30000000,17
T010,Yogyakarta,2,2024,24000000,14
T011,Pusat,3,2024,52000000,29
T012,Bandung,3,2024,36000000,20
T013,Surabaya,3,2024,34000000,19
T014,Selatan,3,2024,32000000,18
T015,Yogyakarta,3,2024,26000000,15
T016,Pusat,4,2024,55000000,31
T017,Bandung,4,2024,38000000,21
T018,Surabaya,4,2024,36000000,20
T019,Selatan,4,2024,34000000,19
T020,Yogyakarta,4,2024,28000000,16
T021,Pusat,5,2024,58000000,33
T022,Bandung,5,2024,40000000,22
T023,Surabaya,5,2024,38000000,21
T024,Selatan,5,2024,36000000,20
T025,Yogyakarta,5,2024,30000000,17
